GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Santorini,edu.cmu.cs214.Santorini.god,GodController,0,25,0,2,0,6,0,3,0,2
Santorini,edu.cmu.cs214.Santorini.god,GodDto,0,30,0,0,0,12,0,6,0,6
Santorini,edu.cmu.cs214.Santorini.god,GodFactory,5,195,1,23,2,28,2,14,1,3
Santorini,edu.cmu.cs214.Santorini.god,GodName,0,69,0,0,0,12,0,1,0,1
Santorini,edu.cmu.cs214.Santorini.god,God,21,44,0,0,2,5,7,5,7,5
Santorini,edu.cmu.cs214.Santorini.god.strategy,HephaestusStrategy,17,92,7,15,4,20,6,7,0,2
Santorini,edu.cmu.cs214.Santorini.god.strategy,HermesStrategy,6,101,1,7,1,19,1,6,0,3
Santorini,edu.cmu.cs214.Santorini.god.strategy,PrometheusStrategy,17,75,5,7,4,18,4,4,0,2
Santorini,edu.cmu.cs214.Santorini.god.strategy,ManStrategy,12,298,7,37,4,57,7,26,0,11
Santorini,edu.cmu.cs214.Santorini.god.strategy,DemeterStrategy,19,161,8,18,5,34,7,10,0,4
Santorini,edu.cmu.cs214.Santorini.god.strategy,ArtemisStrategy,6,65,1,9,1,18,1,6,0,2
Santorini,edu.cmu.cs214.Santorini.god.strategy,PanStrategy,4,47,2,4,2,11,2,3,0,2
Santorini,edu.cmu.cs214.Santorini.god.strategy,MinotaurStrategy,0,61,1,9,0,13,1,6,0,2
Santorini,edu.cmu.cs214.Santorini.god.strategy,ApolloStrategy,6,38,2,4,1,9,2,3,0,2
Santorini,edu.cmu.cs214.Santorini.god.strategy,AthenaStrategy,6,52,1,5,1,9,1,4,0,2
Santorini,edu.cmu.cs214.Santorini.god.strategy,AtlasStrategy,0,11,0,0,0,3,0,1,0,1
Santorini,edu.cmu.cs214.Santorini.state,Action,0,27,0,0,0,4,0,1,0,1
Santorini,edu.cmu.cs214.Santorini.state,State,0,16,0,0,0,8,0,4,0,4
Santorini,edu.cmu.cs214.Santorini.state,Buff.BuffType,0,9,0,0,0,2,0,1,0,1
Santorini,edu.cmu.cs214.Santorini.state,Buff,8,25,0,0,4,10,2,5,2,5
Santorini,edu.cmu.cs214.Santorini.model,Board.OutOfBoardError,0,17,0,0,0,2,0,1,0,1
Santorini,edu.cmu.cs214.Santorini.model,Direction,0,181,0,4,0,19,0,7,0,5
Santorini,edu.cmu.cs214.Santorini.model,PlayerDto,0,24,0,0,0,10,0,5,0,5
Santorini,edu.cmu.cs214.Santorini.model,Worker,50,170,13,25,8,34,17,18,4,12
Santorini,edu.cmu.cs214.Santorini.model,Player,4,191,0,16,2,41,1,18,1,10
Santorini,edu.cmu.cs214.Santorini.model,Board,9,634,3,81,2,122,4,64,1,25
Santorini,edu.cmu.cs214.Santorini.model,Cell.InvalidCellHeightError,0,5,0,0,0,2,0,1,0,1
Santorini,edu.cmu.cs214.Santorini.model,Cell,29,101,5,15,4,26,7,15,2,10
Santorini,edu.cmu.cs214.Santorini.model,Board.ConflictWorkersError,0,17,0,0,0,2,0,1,0,1
Santorini,edu.cmu.cs214.Santorini.model,WorkerDto,0,21,0,0,0,8,0,4,0,4
Santorini,edu.cmu.cs214.Santorini.model,Point,0,15,0,0,0,1,0,3,0,3
Santorini,edu.cmu.cs214.Santorini.game,Game,45,173,13,13,11,39,11,13,0,11
Santorini,edu.cmu.cs214.Santorini.game,Context,12,308,6,16,2,72,6,28,0,23
Santorini,edu.cmu.cs214.Santorini.game,ContextDto,124,60,24,0,5,22,14,11,2,11
Santorini,edu.cmu.cs214.Santorini.game,ContextController,176,3,14,0,35,1,10,1,3,1
Santorini,edu.cmu.cs214.Santorini.game,GameController,105,231,15,15,23,48,14,8,1,6
Santorini,edu.cmu.cs214.Santorini,SantoriniApplication,5,3,0,0,2,1,1,1,1,1
Santorini,edu.cmu.cs214.Santorini.state.run,RunState,4,171,1,11,0,41,1,13,0,8
Santorini,edu.cmu.cs214.Santorini.state.run,Win,3,30,0,0,1,8,1,3,1,3
Santorini,edu.cmu.cs214.Santorini.state.run,BeforeBuild,0,23,0,0,0,7,0,4,0,4
Santorini,edu.cmu.cs214.Santorini.state.run,BeforeMove,5,73,0,4,2,23,1,11,1,9
Santorini,edu.cmu.cs214.Santorini.state.prepare,InitWorker,0,91,1,9,0,19,1,8,0,4
Santorini,edu.cmu.cs214.Santorini.state.prepare,GodChosen,2,70,1,5,1,22,1,6,0,4
Santorini,edu.cmu.cs214.Santorini.state.prepare,PrepareState,0,7,0,0,0,4,0,2,0,2
